bhf,location,land
Friedrichshafen Stadt,Friedrichshafen,BW
Fulda,Fulda,IN
Fürth(Bay) Hbf,Fürth+(Bayern),BY
Fürth(Bay)Hbf,F%FCrth+%28Bayern%29,BY
Garmisch-Partenkirchen,Garmisch-Partenkirchen,BY
Geilenkirchen,Geilenkirchen,NW
Geislingen(Steige),Geislingen+an+der+Steige,BW
Gelsenkirchen Hbf,Gelsenkirchen,NW
Gent St Pieters,no-data,BY
Gera Hbf,Gera,TH
Gießen,Gießen,HE
Glovelier,no-data,BY
Golling-Abtenau,no-data,BY
Golling-Abtenau Bahnhof,no-data,BY
Gotha,Gotha+(Thüringen),TH
Graz Hbf,no-data,BY
Greifswald,Greifswald,MV
Grötzingen,no-data,BY
Gäufelden,Gäufelden,BW
Göppingen,Göppingen,BW
Göttingen,Göttingen,NI
Günzburg,Günzburg,BY
Gütersloh Hbf,Gütersloh,NW
Haffkrug,no-data,BY
Hagen Hbf,Hagen+(Westfalen),NW
Halle(Saale)Hbf,Flughafen+Leipzig//Halle,BY
Hallein,no-data,BY
Hamburg Dammtor,Hamburg,HH
Hamburg Hbf,Hamburg,HH
Hamburg-Altona,Hamburg,HH
Hamburg-Bergedorf,Hamburg,HH
Hamburg-Harburg,Hamburg,HH
Hamm(Westf),Hamm+(Westfalen),NW
Hammerau,Ainring,BY
Hanau Hbf,Hanau,HE
Hannover Hbf,Hannover,NI
Hannover Messe Laatzen,Hannover,NI
Hausach,Hausach+(Schwarzwaldbahn),BY
Heide(Holst),Heide+(Holstein),SH
Heidelberg Hbf,Heidelberg,VIC
Helmstedt,Helmstedt,NI
Hengelo,no-data,BY
Heppenheim(Bergstr),Heppenheim+(Bergstraße),HE
Herford,Herford,NW
Hermsdorf-Klosterlausnitz,Hermsdorf+%28Th%FCringen%29,BY
Herrenberg,Herrenberg,BW
Herzogenrath,Herzogenrath,NW
Hildesheim Hbf,Hildesheim,NI
Hilversum,no-data,BY
Hochdahl-Millrath,Erkrath,NW
Hoeje Taastrup st,no-data,BY
Homburg(Saar)Hbf,Homburg+(Saar),BY
Horb,Horb+am+Neckar,BW
Hornberg(Schwarzw),Hornberg (Schwarzwald),BY
Horsens st,no-data,BY
Hude,Hude (Oldenburg),NI
Husum,Husum+(Nordsee),BY
Hünfeld,Hünfeld,HE
Ibbenbüren,Ibbenbüren,NW
Immendingen,Immendingen,BW
Immenstadt,Immenstadt+im+Allgäu,BY
Imst-Pitztal,no-data,BY
Ingolstadt Hbf,Ingolstadt,BY
Ingolstadt Nord,Ingolstadt,BY
