eva,ds100,name,lat,lon,city_search_string,city,zip,filename
8001047,TBOD,Bodelshausen,48.383369,8.990601,Bodelshausen,Bodelshausen,72411.0,
8001048,HBBU,Bodenburg,52.031121,10.001330000000001,Bad Salzdetfurth,Bad Salzdetfurth,31162.0,
8001050,HBOF,Bodenfelde,51.63720900000001,9.561667,Bodenfelde,Bodenfelde,37194.0,
8000359,FBOD,Bodenheim,49.929584999999996,8.312491,Bodenheim,Bodenheim,55294.0,
8001051,NBMA,Bodenmais,49.070419,13.101078,Bodenmais,Bodenmais,94249.0,
8011219,UBOD,Bodenrode,51.393528,10.20855,Bodenrode,Bodenrode,37308.0,
8001054,NBOE,Bodenwöhr Nord,49.278381,12.325948,Bodenwöhr,Bodenwöhr,92439.0,
8001069,NBO,Bogen,48.910594,12.686141000000001,Bogen,Bogen,94327.0,
8001071,HBOM,Bohmte,52.361632,8.307525,Bohmte,Bohmte,49163.0,
8001072,KBOI,Boisheim,51.274322999999995,6.274591,Viersen,Viersen,41751.0,
8011230,WBZ,Boizenburg(Elbe),53.378069,10.754481,Boizenburg/ Elbe,Boizenburg/ Elbe,19258.0,
8007067,ABHT,Bokholt,53.786106999999994,9.716842999999999,no-data,no-data,,
8001080,TBD,Bondorf(b Herrenberg),48.523552,8.827662,Bondorf,Bondorf ,71149.0,Bondorf
8070741,KBBS,Bonn Brühler Str.,50.740317,7.068908,no-data,no-data,,
8000044,KB,Bonn Hbf,50.732008,7.097136,Bonn,Bonn,53111.0,Bonn
8098044,KB  T,Bonn Hbf (tief),50.732157,7.0980229999999995,no-data,no-data,,
8001081,KBHH,Bonn Helmholtzstraße,50.721844,7.052614999999999,Bonn,Bonn,53123.0,Bonn
8070026,KB  B,Bonn Heussallee Museumsmeile,50.716732,7.120601,no-data,no-data,,
8070075,KB  A,Bonn Konrad-Adenauer-Platz,50.739305,7.117656,no-data,no-data,,
8070107,KB  H,Bonn Stadthaus,50.736593,7.095263,no-data,no-data,,
8001091,KBUN,Bonn UN Campus,50.714559,7.1180179999999975,Bonn,Bonn,53113.0,Bonn
8001082,KBBG,Bonn-Bad Godesberg,50.683927000000004,7.159555,Bonn,Bonn,53173.0,Bonn
8070231,KBBGS,Bonn-Bad Godesberg Stadthalle,50.68051,7.158556,no-data,no-data,,
